"","Text1","Text2","Expected","Observed"
"1","PHT","ARDsh","0.1551017280355569","0"
"2","SPTAD","ARDsh","0.4935054982949538","0"
"3","TMP","ARDsh","4.251197363883674","4"
"4","PHT","AYL","0.5302118855128549","0"
"5","STMsh","AYL","1.2291275527798","1"
"6","H8sh","E3sh","4.1627648568910685","4"
"7","MMsh","E3sh","6.809609563584812","6"
"8","SPTAD","ERR","1.1291620368596498","1"
"9","E3sh","H8sh","4.1627648568910685","4"
"10","PHT","H8sh","0.2916586842407755","0"
"11","STMsh","JC","0.8734817425955018","0"
"12","SHR","LC","4.194490210352887","2"
"13","SPTAD","LC","0.4720487374995211","0"
"14","x2H6sh","LC","2.063527338212192","2"
"15","PHT","LLL","0.6541246791064792","0"
"16","STMsh","LLL","1.5163799379286562","1"
"17","STMsh","LR","1.6570749837158512","1"
"18","E3sh","MMsh","6.809609563584812","6"
"19","STMsh","MND","1.1568259320280472","0"
"20","PHT","MV","0.49312234185217824","0"
"21","SPTAD","MV","1.5690256331660215","0"
"22","SPTAD","OTH","1.7943216215180657","1"
"23","WIV","PERsh","6.514195946204835","6"
"24","x1H6sh","PERsh","1.2173646499865896","1"
"25","ARDsh","PHT","0.1551017280355569","0"
"26","AYL","PHT","0.5302118855128549","0"
"27","H8sh","PHT","0.2916586842407755","0"
"28","LLL","PHT","0.6541246791064792","0"
"29","MV","PHT","0.4931223418521783","0"
"30","R3","PHT","0.7460055940840645","0"
"31","SHR","PHT","0.5243112762941109","0"
"32","SPTAD","PHT","0.059006092187440136","0"
"33","STMsh","PHT","0.04299015287942067","0"
"34","TN","PHT","0.4762634583700525","0"
"35","WIV","PHT","0.4240009195754627","0"
"36","WT","PHT","0.6676117858921798","0"
"37","x1H4","PHT","0.6979577761600062","0"
"38","x1H6sh","PHT","0.07923675236599104","0"
"39","x2H6sh","PHT","0.257940917276524","0"
"40","x3H6sh","PHT","0.35740832982106596","0"
"41","PHT","R3","0.7460055940840645","0"
"42","LC","SHR","4.194490210352887","2"
"43","PHT","SHR","0.5243112762941109","0"
"44","ARDsh","SPTAD","0.49350549829495377","0"
"45","ERR","SPTAD","1.1291620368596498","1"
"46","LC","SPTAD","0.47204873749952103","0"
"47","MV","SPTAD","1.5690256331660215","0"
"48","OTH","SPTAD","1.7943216215180657","1"
"49","PHT","SPTAD","0.05900609218744013","0"
"50","STMsh","SPTAD","0.13678685007088393","0"
"51","TGV","SPTAD","1.2337637457373845","1"
"52","TIMsh","SPTAD","1.1479367025556533","0"
"53","AYL","STMsh","1.2291275527797998","1"
"54","JC","STMsh","0.8734817425955017","0"
"55","LLL","STMsh","1.5163799379286562","1"
"56","LR","STMsh","1.6570749837158512","1"
"57","MND","STMsh","1.156825932028047","0"
"58","PHT","STMsh","0.042990152879420665","0"
"59","SPTAD","STMsh","0.13678685007088393","0"
"60","TAsh","STMsh","1.0259013755316295","1"
"61","TGV","STMsh","0.8988850147515229","0"
"62","VEN","STMsh","1.016130886240852","0"
"63","x1H6sh","STMsh","0.18368519866661556","0"
"64","STMsh","TAsh","1.0259013755316295","1"
"65","SPTAD","TGV","1.2337637457373847","1"
"66","STMsh","TGV","0.898885014751523","0"
"67","SPTAD","TIMsh","1.1479367025556535","0"
"68","ARDsh","TMP","4.251197363883674","4"
"69","x1H6sh","TMP","2.1718073489405723","0"
"70","PHT","TN","0.4762634583700525","0"
"71","STMsh","VEN","1.016130886240852","0"
"72","PERsh","WIV","6.514195946204836","6"
"73","PHT","WIV","0.4240009195754627","0"
"74","x1H6sh","WIV","1.8116402927315225","0"
"75","x3H6sh","WIV","8.171654086363462","5"
"76","PHT","WT","0.6676117858921798","0"
"77","PHT","x1H4","0.6979577761600062","0"
"78","PERsh","x1H6sh","1.2173646499865896","1"
"79","PHT","x1H6sh","0.07923675236599104","0"
"80","STMsh","x1H6sh","0.1836851986666156","0"
"81","TMP","x1H6sh","2.1718073489405727","0"
"82","WIV","x1H6sh","1.8116402927315223","0"
"83","LC","x2H6sh","2.063527338212192","2"
"84","PHT","x2H6sh","0.257940917276524","0"
"85","PHT","x3H6sh","0.3574083298210659","0"
"86","WIV","x3H6sh","8.171654086363462","5"
